BGGId,Rating,Username
226013,7.0,Florian Sohns
226013,6.0,ddash
226013,6.0,kathuna
226013,5.0,wellevorkanagawa
226013,5.0,softfairy
226013,4.0,gimli043
194094,6.75,Bixby
226081,6.0,jmdsplotter
226081,6.0,ottobre31
226081,5.0,oldgoat3769967
220124,6.0,ddash
278484,6.5,Reuner
226115,7.7,Walt Mulder
226115,7.0,FRANCONY robin
226115,4.0,eddy_sterckx
309109,7.0,Dathkadan
309109,7.0,kathuna
309109,6.0,XcrovaxX
194438,4.0,PBrennan
279056,7.0,punkin312
279056,6.0,ddash
279056,6.0,saba2
279056,5.0,ifalunch
220137,2.0,DeviantMagick
347521,8.0,n_and
325704,7.0,oldgoat3769967
325704,6.0,XcrovaxX
194534,7.0,TomVasel
194534,3.0,fake
219926,8.0,PSIM2
219926,7.5,Nap16
219926,7.2,Walt Mulder
219926,7.0,smacphee
219926,5.0,airjudden
278142,5.0,rseater
278218,7.8,Walt Mulder
278218,4.0,Squeezel
278304,9.0,Mamuz
302965,9.0,LUMA78
184780,6.5,punkin312
184780,6.0,larryjrice
184780,5.75,jmdsplotter
184780,5.0,saba2
219985,7.0,OGRussHood
219985,6.5,Boromir1983
219985,6.0,william4192
325828,7.5,TomVasel
325828,7.0,oldgoat3769967
325828,6.0,william4192
325828,5.0,rseater
184797,6.0,oceanodeuegos
184797,6.0,jcd2001es
279527,5.0,Abiteacher
279527,4.0,SeanXor
302840,7.0,fake
302840,6.5,jancis
302840,6.5,Jorge Saavedra
302840,6.0,juuzzom
302840,5.5,Hessu68
302840,2.0,Largovos
302840,1.0,Peter The Rat
232250,6.0,Tonydorrf
279996,6.0,Kweevnidny
279996,5.0,sdiberar
279996,1.0,lushchords
302887,6.0,Geeken
302887,5.75,jmdsplotter
341931,7.0,Ryan Keane
341931,6.0,Hessu68
341931,6.0,boxoftricks_13
280148,5.0,juuzzom
280148,5.0,punkin312
184900,7.0,nikkapo
184900,7.0,khronosTdG
184900,4.6,ottobre31
280202,7.0,Kweevnidny
280202,5.0,ifalunch
280202,4.0,ddash
280378,5.0,wafflebun
280378,5.0,himokl
194184,5.5,Acciaccatura
194184,4.0,machiavelli
194184,4.0,Zafin
279967,7.0,general hoth
